Program/Agency Name,Project Name,Sub-Project Name,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Total 10 Year,Ward Number,Ward,Category
Solid Waste Management,SWM IT Application Initiatives,Closed Landfill Application Console, -   , -   , -   , -   ,364.00, -   , -   , -   , -   , -   ,364.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Cloud Migration Assessment, -   , -   , -   , -   , -   ,291.00, -   , -   , -   , -   ,291.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Complaint & Enquiry Management Solution ,176.00,95.00, -   , -   , -   , -   , -   , -   , -   , -   ,271.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Contract Management (Contract Monitoring),242.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,242.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Contract Management Solution - Assessment, -   ,150.00,155.00, -   , -   , -   , -   , -   , -   , -   ,305.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Contract Management Solution - Implementation, -   , -   ,226.00,603.00, -   , -   , -   , -   , -   , -   ,829.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Crew & Route Management - Environmental & Jurisdi , -   ,195.00, -   , -   , -   , -   , -   , -   , -   , -   ,195.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Cyber Security Initiatives,200.00,200.00,200.00,200.00,200.00, -   , -   , -   , -   , -   ,1000.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,DPO Management Solution , -   ,166.00, -   , -   , -   , -   , -   , -   , -   , -   ,166.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,EPR Technology Impact Assessment,150.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,150.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Information Architecture Refresh , -   , -   ,156.00, -   , -   , -   , -   , -   , -   , -   ,156.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Integration Architecture Design & Implementation, -   ,261.00, -   , -   , -   , -   , -   , -   , -   , -   ,261.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Mobile Data Collector 1 - Soln Arch & Implmnt stgy,289.00,422.00, -   , -   , -   , -   , -   , -   , -   , -   ,711.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Mobile Data Collector 2 - EH&SC assessments, -   ,153.00,352.00, -   , -   , -   , -   , -   , -   , -   ,505.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Mobile Data Collector 3 - Waste Auditing/Inspectn , -   , -   ,131.00,350.00, -   , -   , -   , -   , -   , -   ,481.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Mobile Service Request Management ,904.00,1280.00,1608.00,57.00, -   , -   , -   , -   , -   , -   ,3849.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Ongoing Technology Roadmap Refresh , -   , -   , -   ,335.00, -   , -   , -   , -   , -   , -   ,335.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Project Management Tool Assessment , -   , -   , -   ,208.00, -   , -   , -   , -   , -   , -   ,208.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SCADA Improvements,358.00,350.00, -   , -   , -   , -   , -   , -   , -   , -   ,708.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Sites Connectivity to City Network Assessment,184.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,184.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWAMP Request Automation, -   , -   , -   , -   ,246.00, -   , -   , -   , -   , -   ,246.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWAP Upgrade , -   , -   , -   ,590.00,526.00, -   , -   , -   , -   , -   ,1116.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWMS Asset Management Solution , -   , -   , -   , -   ,1317.00,972.00, -   , -   , -   , -   ,2289.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWMS Asset Management Solution Assessment , -   , -   , -   ,175.00, -   , -   , -   , -   , -   , -   ,175.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWMS Business Intelligence Implementation,350.00,350.00, -   , -   , -   , -   , -   , -   , -   , -   ,700.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWMS IT APPLICATION INITIATIVES GENERAL,1198.00,830.00,742.00,758.00,773.00,788.00,804.00,821.00,837.00,854.00,8405.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWMS OPERATIONAL SOLUTION DELIVERY - PHASE 2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,SWMS Stakeholder-Customer Relationship Management,303.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,303.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,TOwaste Mobile App version 2.0,160.00,225.00,265.00, -   , -   , -   , -   , -   , -   , -   ,650.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,SWM IT Application Initiatives,Transfer Station Efficiencies,-150.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-150.00,CW,City Wide,Service Improvement and Enhancement 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,BERMONDSEY TS ,3963.00,2039.00,1107.00,865.00,598.00,749.00,1313.00,2567.00,1888.00,777.00,15866.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,COMMISSIONERS TS,47.00,320.00,361.00,1171.00,2592.00,2915.00,2106.00,1431.00,654.00,743.00,12340.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,DISCO TS,1140.00,1906.00,2180.00,1510.00,1094.00,1488.00,1963.00,1339.00,377.00,983.00,13980.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENANCE YARD, -   ,67.00,199.00,337.00,819.00,656.00,176.00,321.00,746.00,1232.00,4553.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN TS ,3354.00,2975.00,3151.00,2350.00,1523.00,1022.00,1304.00,1736.00,201.00,335.00,17951.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,INGRAM TS,217.00,1520.00,1649.00,1964.00,2389.00,2133.00,1656.00,1443.00,529.00,702.00,14202.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,SCARBOROUGH TS,1668.00,1791.00,1550.00,1069.00,758.00,769.00,1575.00,2376.00,330.00,2547.00,14433.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,Transfer Station Asset Management-CSW361-16,14.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,14.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,Transfer Station Asset Management-CSW361-18,9.00,-7.00,-2.00, -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,Transfer Station Asset Managemnet-2017,269.00, -   ,-1.00, -   , -   , -   , -   , -   , -   , -   ,268.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,TSAM GENERAL,1376.00,2520.00,2670.00,3164.00,3075.00,3047.00,3510.00,3800.00,1779.00,1750.00,26691.00,CW,City Wide,State of Good Repair 
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,405.00,1798.00,3543.00,2740.00,2397.00,2372.00,1603.00,928.00,99.00,1061.00,16946.00,CW,City Wide,State of Good Repair 
Solid Waste Management,Two-Way Radio Replacement,Two-Way Radio Replacement,50.00,50.00,50.00,75.00,75.00,75.00,75.00,75.00,75.00,75.00,675.00,CW,City Wide,Service Improvement and Enhancement 
Spadina Subway Extension,Spadina Subway Extension VCC,Spadina Subway Extension,63967.00,827.00, -   , -   , -   , -   , -   , -   , -   , -   ,64794.00,CW,City Wide,Growth Related 
Technology Services, Asset Lifecycle Management,Desktop Hardware Replacement,8381.00,9752.00,7169.00,20361.00,15288.00,10586.00,20462.00,7356.00,11567.00,6879.00,117801.00,CW,City Wide,State of Good Repair 
Technology Services, Asset Lifecycle Management,Desktop Software Replacement,250.00,253.00,255.00,258.00,441.00,263.00,265.00,268.00,270.00,441.00,2964.00,CW,City Wide,State of Good Repair 
Technology Services, Asset Lifecycle Management,Enterprise Server Replacement,1992.00,1958.00,2340.00,2647.00,2472.00,2340.00,2340.00,2340.00,2340.00,2430.00,23199.00,CW,City Wide,State of Good Repair 
Technology Services, Asset Lifecycle Management,Enterprise Software Replacement,864.00,1023.00,1187.00,1334.00,1250.00,1187.00,1187.00,1187.00,1187.00,1187.00,11593.00,CW,City Wide,State of Good Repair 
Technology Services, Asset Lifecycle Management,Enterprise Storage Replacement,1035.00,968.00,1825.00,1076.00,992.00,700.00,925.00,700.00,1625.00,1050.00,10896.00,CW,City Wide,State of Good Repair 
Technology Services, Asset Lifecycle Management,Internet Services Replacement ,850.00,401.00,525.00,2369.00,3829.00,2110.00,349.00,682.00,3965.00,3547.00,18627.00,CW,City Wide,State of Good Repair 
Technology Services, Asset Lifecycle Management,Network Asset Replacement,5589.00,4615.00,5697.00,7998.00,7347.00,4275.00,4660.00,5152.00,5232.00,5312.00,55877.00,CW,City Wide,State of Good Repair 
Technology Services, Fleet Services,"Fleet Services Driver, Accident and Fine Mgmt ",622.00,1467.00,1258.00, -   , -   , -   , -   , -   , -   , -   ,3347.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,311 Upgrades,311 - UCCE(Telephony) Upgrade, -   , -   ,407.00,3654.00,204.00, -   , -   , -   , -   , -   ,4265.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Application Systems,Domino Decommissioning Strat & Implementation,556.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,556.00,CW,City Wide,State of Good Repair 
Technology Services,Application Systems,ECS Cloud Deployment-Construction Project and DMS , -   ,700.00, -   , -   , -   , -   , -   , -   , -   , -   ,700.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Application Systems,Enterprise Business Intelligence Impl Scope Chg,290.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,290.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Application Systems,Enterprise Business Intelligence Implementation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Application Systems,Enterprise Documents and Records Management Phase2,214.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,214.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Application Systems,eSignature Project,291.00,501.00, -   , -   , -   , -   , -   , -   , -   , -   ,792.00,CW,City Wide,Growth Related 
Technology Services,Application Systems,Info Mgmt Infras-Common Search Terms-Ent Classific, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,State of Good Repair 
Technology Services,Application Systems,Museums and Heritage Srvs IT Infrastructure SOGR,174.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,174.00,CW,City Wide,State of Good Repair 
Technology Services,Application Systems,Open Data Master Plan Impl Scope Chg,1185.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1185.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Application Systems,Toronto Property System (TPS) Refresh,149.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,149.00,CW,City Wide,State of Good Repair 
Technology Services,BUSINESS SUSTAINMENT SYSTEMS,Electronic Service Delivery Portal-Bldg Permits,698.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,698.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,BUSINESS SUSTAINMENT SYSTEMS,IBMS Review & Transformation,300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,300.00,CW,City Wide,State of Good Repair 
Technology Services,BUSINESS SUSTAINMENT SYSTEMS,MLS Modernization-Phase 2,1080.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,1080.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,BUSINESS SUSTAINMENT SYSTEMS,MLS onboarding to Administrative Penalty System ,500.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,500.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives, eScheduling Solution & Implementation,980.00,5724.00,4563.00,3393.00,3144.00,537.00, -   , -   , -   , -   ,18341.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Class Replacement ,569.00,2429.00,2057.00, -   , -   , -   , -   , -   , -   , -   ,5055.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Document Direct View Direct (DDVD),1095.00,795.00, -   , -   , -   , -   , -   , -   , -   , -   ,1890.00,CW,City Wide,State of Good Repair 
Technology Services,Corporate Initiatives,Enterprise Work Mgmt System,3500.00,6145.00,440.00,340.00, -   , -   , -   , -   , -   , -   ,10425.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,HR Labour Relations Information System (LRIS),236.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,236.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,PTP Capital Coordination Future State Seed Projec ,249.00,328.00, -   , -   , -   , -   , -   , -   , -   , -   ,577.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Salesforce Realignment of Foundational Technologi ,545.00,775.00, -   , -   , -   , -   , -   , -   , -   , -   ,1320.00,CW,City Wide,State of Good Repair 
Technology Services,Corporate Initiatives,SDFA- Online Grant Management System,209.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,209.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Telestaff Upgrade,221.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,221.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Toronto Building-CRM-Enh Complaint Mgmt Scope Chg,-300.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,-300.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Toronto Building-CRM-Enhanced Complaint Management,637.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,637.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Initiatives,Workforce Business Intel. Requirements,950.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,950.00,CW,City Wide,Growth Related 
Technology Services,Corporate Planning & Management,API Cloud Migration ,400.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,400.00,CW,City Wide,State of Good Repair 
Technology Services,Corporate Planning & Management,Artificial Intelligence (AI) for SSHA and TPH, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Corporate Planning & Management,Quality Assurance Centre of Excellence Foundation,150.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,150.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Data Centralization,Modernized Data Center Architecture , -   ,5538.00, -   , -   , -   , -   , -   , -   , -   , -   ,5538.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Digital Modernization,Office 365 ,2260.00,1490.00, -   , -   , -   , -   , -   , -   , -   , -   ,3750.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Digital Modernization,ServiceNow ,2663.00,2663.00, -   , -   , -   , -   , -   , -   , -   , -   ,5326.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Innovation Partnership ,ConnectTO - Network Utility,550.00, -   , -   , -   , -   , -   , -   , -   , -   , -   ,550.00,CW,City Wide,Service Improvement and Enhancement 
Technology Services,Network Upgrade,Disaster Recovery,550.00, -   , -   ,-950.00, -   , -   , -   , -   , -   , -   ,-400.00,CW,City Wide,State of Good Repair 
Technology Services,Network Upgrade,Disaster Recovery scope change,-550.00, -   , -   ,950.00, -   , -   , -   , -   , -   , -   ,400.00,CW,City Wide,State of Good Repair 
